identifier,player,full_name,format,span_bat,mat_bat,inns_bat,no,runs_bat,hs,ave_bat,bf,sr_bat,100,50,ducks,4s,6s,span_bowl,mat_bowl,inns_bowl,balls,runs_bowl,wkts,bbi,ave_bowl,econ,sr_bowl,4,5,bbm,10,overs,mdns,total_contribution,ar_rating
1f99aeb8,GA Faulkner,George Faulkner,Test,1906-1924,25,47,4,1754,204,40.79,0,0,4,8,2,0,0,1906-1924,25,43,4227,2180,82,Jul-84,26.58,3.09,51.5,0,4,Sep-75,0,0,0,3394,14.21
22cb756c,KR Miller,Keith Miller,Test,1946-1956,55,87,7,2958,147,36.97,0,0,7,13,5,0,0,1946-1956,55,95,10461,3906,170,Jul-60,22.97,2.24,61.5,0,7,10/152,1,0,0,6358,14
622dee94,SR Waugh,Steve Waugh,Test,1985-2004,168,260,46,10927,200,51.06,0,0,32,50,22,0,0,1985-2004,168,150,7805,3445,92,May-28,37.44,2.64,84.8,0,3,8/169,0,0,0,12767,13.62
fe93fd9d,RA Jadeja,Ravindra Jadeja,Test,2012-2025,89,133,26,4095,175*,38.27,0,0,6,28,8,0,0,2012-2025,89,167,20241,8741,348,Jul-42,25.11,2.59,58.1,0,15,10/110,3,0,0,11055,13.16
a8875fc5,GS Chappell,Greg Chappell,Test,1970-1984,87,151,19,7110,247*,53.86,0,0,24,31,12,0,0,1970-1984,87,88,5327,1913,47,May-61,40.7,2.15,113.3,0,1,May-61,0,0,0,8050,13.16
c794ef74,ER Dexter,Ted Dexter,Test,1958-1968,62,102,8,4502,205,47.89,0,0,9,27,6,0,0,1958-1968,62,80,5317,2306,66,04-Oct,34.93,2.6,80.5,0,0,Jun-77,0,0,0,5822,12.96
3cd6ae37,FMM Worrell,Frank Worrell,Test,1948-1963,51,87,9,3860,261,49.48,0,0,9,22,11,0,0,1948-1963,51,82,7141,2672,69,Jul-70,38.72,2.24,103.4,0,2,Jul-70,0,0,0,5240,10.76
79ef7d54,Asif Iqbal,Asif Iqbal,Test,1964-1980,58,99,7,3575,175,38.85,0,0,11,12,9,0,0,1964-1980,58,54,3864,1502,53,May-48,28.33,2.33,72.9,0,2,Jun-75,0,0,0,4635,10.52
46091cec,Mushtaq Mohammad,Mushtaq Mohammad,Test,1959-1979,57,100,7,3643,201,39.17,0,0,10,19,4,0,0,1959-1979,57,70,5260,2309,79,May-28,29.22,2.63,66.5,0,3,9/119,0,0,0,5223,9.95
0,KC Wessels,Kepler Wessels,Test,1982-1994,40,71,3,2788,179,41,0,0,6,15,5,0,0,1978-1981,22,36,4752,2057,66,7/143,31.16,2.59,72,0,2,8/190,0,0,0,4108,9.84
88fccd6c,SM Pollock,Shaun Pollock,Test,1995-2008,108,156,39,3781,111,32.31,0,0,2,16,9,0,0,1995-2008,108,202,24353,9733,421,Jul-87,23.11,2.39,57.8,0,16,10/147,1,0,0,12201,9.2
5ad676c7,TL Goddard,Trevor Goddard,Test,1955-1970,41,78,5,2516,112,34.46,0,0,1,18,4,0,0,1955-1970,41,75,11736,3226,123,Jun-53,26.22,1.64,95.4,0,5,Aug-92,0,0,0,4976,8.24
1c329c9e,AW Greig,Tony Greig,Test,1972-1977,58,93,4,3599,148,40.43,0,0,8,20,5,0,0,1972-1977,58,93,9802,4541,141,Aug-86,32.2,2.77,69.5,0,6,13/156,2,0,0,6419,8.23
bde620dc,WJ Cronje,Hansie Cronje,Test,1992-2000,68,111,9,3714,135,36.41,0,0,6,23,11,0,0,1992-2000,68,85,3800,1288,43,Mar-14,29.95,2.03,88.3,0,0,May-34,0,0,0,4574,6.46
7dc35884,Shakib Al Hasan,Shakib Al Hasan,Test,2007-2024,71,130,8,4609,217,37.77,0,0,5,31,6,0,0,2007-2024,71,121,15675,7804,246,Jul-36,31.72,2.98,63.7,0,19,10/124,2,0,0,9529,6.05
94d7f855,C de Grandhomme,Colin de Grandhomme,Test,2016-2022,29,44,7,1432,120*,38.7,0,0,2,8,6,0,0,2016-2022,29,53,4054,1615,49,Jun-41,32.95,2.39,82.7,0,1,Jul-64,0,0,0,2412,5.75
f233bbb4,ST Jayasuriya,Sanath Jayasuriya,Test,1991-2007,110,188,14,6973,340,40.07,0,0,14,31,15,0,0,1991-2007,110,140,8188,3366,98,May-34,34.34,2.46,83.5,0,2,Sep-74,0,0,0,8933,5.73
065b0d02,BM McMillan,Brian McMillan,Test,1992-1998,38,62,12,1968,113,39.36,0,0,3,13,3,0,0,1992-1998,38,64,6048,2537,75,Apr-65,33.82,2.51,80.6,0,0,7/117,0,0,0,3468,5.54
4e286505,MA Noble,Monty Noble,Test,1898-1909,42,73,7,1997,133,30.25,0,0,1,16,4,0,0,1898-1909,42,71,7159,3025,121,Jul-17,25,2.53,59.1,0,9,13/77,2,0,0,4417,5.25
b49c21e2,IT Botham,Ian Botham,Test,1977-1992,102,161,6,5200,208,33.54,0,0,14,22,14,0,0,1977-1992,102,168,21815,10878,383,Aug-34,28.4,2.99,56.9,0,27,13/106,4,0,0,12860,5.14
d7cb51a4,WW Armstrong,Warwick Armstrong,Test,1902-1921,50,84,10,2863,159*,38.68,0,0,6,8,6,0,0,1902-1921,50,80,8022,2923,87,Jun-35,33.59,2.18,92.2,0,3,7/166,0,0,0,4603,5.09
b0708332,C Kelleway,Charlie Kelleway,Test,1910-1928,26,42,4,1422,147,37.42,0,0,3,6,1,0,0,1910-1928,26,44,4363,1683,52,May-33,32.36,2.31,83.9,0,1,Jun-56,0,0,0,2462,5.06
0cfbdd73,Sir RJ Hadlee,Richard Hadlee,Test,1973-1990,86,134,19,3124,151*,27.16,0,0,2,15,12,0,0,1973-1990,86,150,21918,9611,431,Sep-52,22.29,2.63,50.8,0,36,15/123,9,0,0,11744,4.87
970d1524,RB Simpson,Bobby Simpson,Test,1957-1978,62,111,7,4869,311,46.81,0,0,10,27,8,0,0,1957-1978,62,84,6881,3001,71,May-57,42.26,2.61,96.9,0,2,Aug-97,0,0,0,6289,4.55
0b130202,CL Cairns,Chris Cairns,Test,1989-2004,62,104,5,3320,158,33.53,0,0,5,22,7,0,0,1989-2004,62,104,11698,6410,218,Jul-27,29.4,3.28,53.6,0,13,10/100,1,0,0,7680,4.13
8b806dd0,AK Davidson,Alan Davidson,Test,1953-1963,44,61,7,1328,80,24.59,0,0,0,5,1,0,0,1953-1963,44,82,11587,3819,186,Jul-93,20.53,1.97,62.2,0,14,12/124,2,0,0,5048,4.06
e087956b,BA Stokes,Ben Stokes,Test,2013-2026,120,216,9,7216,258,34.85,0,0,14,37,17,0,0,2013-2026,120,178,13767,7655,245,Jun-22,31.24,3.33,56.1,0,6,8/161,0,0,0,12116,3.61
9ab63e7b,Mohammad Hafeez,Mohammad Hafeez,Test,2003-2018,55,105,8,3652,224,37.64,0,0,10,12,8,0,0,2003-2018,55,77,4067,1808,53,Apr-16,34.11,2.66,76.7,0,0,Apr-48,0,0,0,4712,3.53
3eac9d95,JDP Oram,Jacob Oram,Test,2002-2009,33,59,10,1780,133,36.32,0,0,5,6,4,0,0,2002-2009,33,55,4964,1983,60,Apr-41,33.05,2.39,82.7,0,0,Jun-63,0,0,0,2980,3.27
f8f73a48,W Rhodes,Wilfred Rhodes,Test,1899-1930,58,98,21,2325,179,30.19,0,0,2,11,6,0,0,1899-1930,58,90,8225,3425,127,Aug-68,26.96,2.49,64.7,0,6,15/124,1,0,0,4865,3.23
a343262c,JE Root,Joe Root,Test,2012-2026,163,298,25,13943,262,51.07,0,0,41,66,15,0,0,2012-2026,163,168,6272,3515,73,05-Aug,48.15,3.36,85.9,0,1,May-33,0,0,0,15403,2.92
ff68a870,FE Woolley,Frank Woolley,Test,1909-1934,64,98,7,3283,154,36.07,0,0,5,23,13,0,0,1909-1934,64,87,6495,2815,83,Jul-76,33.91,2.6,78.2,0,4,Oct-49,1,0,0,4943,2.16
495d42a5,R Ashwin,Ravichandran Ashwin,Test,2011-2024,106,151,15,3503,124,25.75,0,0,6,14,9,0,0,2011-2024,106,200,27246,12891,537,Jul-59,24,2.83,50.7,0,37,13/140,8,0,0,14243,1.75
cfe70281,VD Philander,Vernon Philander,Test,2011-2020,64,94,20,1779,74,24.04,0,0,0,8,8,0,0,2011-2020,64,119,11391,5000,224,Jun-21,22.32,2.63,50.8,0,13,10/102,2,0,0,6259,1.72
4329fbb5,SR Watson,Shane Watson,Test,2005-2015,59,109,3,3731,176,35.19,0,0,4,24,6,0,0,2005-2015,59,93,5495,2526,75,Jun-33,33.68,2.75,73.2,0,3,Jun-51,0,0,0,5231,1.51
43ba7dcf,N Kapil Dev,Kapil Dev,Test,1978-1994,131,184,15,5248,163,31.05,0,0,8,27,16,0,0,1978-1994,131,227,27740,12867,434,Sep-83,29.64,2.78,63.9,0,23,11/146,2,0,0,13928,1.41
