identifier,player,full_name,format,span_bat,mat_bat,inns_bat,no,runs_bat,hs,ave_bat,bf,sr_bat,100,50,ducks,4s,6s,span_bowl,mat_bowl,inns_bowl,balls,runs_bowl,wkts,bbi,ave_bowl,econ,sr_bowl,4,5,bbm,10,overs,mdns,total_contribution,ar_rating
72230c7d,CG Borde,Chandu Borde,Test,1958-1969,55,97,11,3061,177*,35.59,0,0,5,18,13,0,0,1958-1969,55,54,5695,2417,52,May-88,46.48,2.54,109.5,0,1,6/132,0,0,0,4101,-10.89
6a52f5d3,GJ Whittall,Grant Whittall,Test,1993-2002,46,82,7,2207,203*,29.42,0,0,4,10,6,0,0,1993-2002,46,52,4686,2088,51,Apr-18,40.94,2.67,91.8,0,0,May-61,0,0,0,3227,-11.52
3d8feaf8,MR Marsh,Mitch Marsh,Test,2014-2024,46,80,7,2083,181,28.53,0,0,3,9,9,0,0,2014-2024,46,74,3483,2061,51,May-46,40.41,3.55,68.2,0,1,Jul-86,0,0,0,3103,-11.88
0c2730df,A Kumble,Anil Kumble,Test,1990-2008,132,173,32,2506,110*,17.77,0,0,1,5,17,0,0,1990-2008,132,236,40850,18355,619,Oct-74,29.65,2.69,65.9,0,35,14/149,8,0,0,14886,-11.88
bf1d7d3e,Mahmudullah,Mahmudullah Riyad,Test,2009-2021,50,94,7,2914,150*,33.49,0,0,5,16,11,0,0,2009-2021,50,66,3423,1958,43,May-51,45.53,3.43,79.6,0,1,8/110,0,0,0,3774,-12.04
61dab16a,CL Hooper,Carl Hooper,Test,1987-2002,102,173,15,5762,233,36.46,0,0,13,27,13,0,0,1987-2002,102,145,13794,5635,114,May-26,49.42,2.45,121,0,4,7/178,0,0,0,8042,-12.96
d2fcce2f,HMRKB Herath,Rangana Herath,Test,1999-2018,93,144,28,1699,80*,14.64,0,0,0,3,23,0,0,1999-2018,93,170,25993,12157,433,9/127,28.07,2.8,60,0,34,14/184,9,0,0,10359,-13.43
0cb86ad7,Intikhab Alam,Intikhab Alam,Test,1959-1977,47,77,10,1493,138,22.28,0,0,1,8,10,0,0,1959-1977,47,78,10474,4494,125,Jul-52,35.95,2.57,83.7,0,5,11/130,2,0,0,3993,-13.67
0b60eb09,KA Maharaj,Keshav Maharaj,Test,2016-2025,62,95,8,1334,84,15.33,0,0,0,6,19,0,0,2016-2025,62,106,12308,6370,218,9/129,29.22,3.1,56.4,0,12,12/283,1,0,0,5694,-13.89
c03c6200,DJG Sammy,Darren Sammy,Test,2007-2013,38,63,2,1323,106,21.68,0,0,1,5,8,0,0,2007-2013,38,65,6215,3007,84,Jul-66,35.79,2.9,73.9,0,4,Aug-98,0,0,0,3003,-14.11
8b5b6769,Harbhajan Singh,Harbhajan Singh,Test,1998-2015,103,145,23,2224,115,18.22,0,0,2,9,19,0,0,1998-2015,103,190,28580,13537,417,Aug-84,32.46,2.84,68.5,0,25,15/217,5,0,0,10564,-14.24
7d608e12,DM de Silva,Dhananjaya de Silva,Test,2016-2025,65,115,9,4133,173,38.99,0,0,12,19,10,0,0,2016-2025,65,95,4149,2301,43,Mar-25,53.51,3.32,96.4,0,0,May-51,0,0,0,4993,-14.52
13c35c9e,TG Southee,Tim Southee,Test,2008-2024,107,156,11,2245,77*,15.48,0,0,0,7,21,0,0,2008-2024,107,203,23490,11832,391,Jul-64,30.26,3.02,60,0,15,10/108,1,0,0,10065,-14.78
78eb4223,KAJ Roach,Kemar Roach,Test,2009-2025,88,142,31,1363,58*,12.27,0,0,0,1,22,0,0,2009-2025,88,159,15406,7968,294,Jun-48,27.1,3.1,52.4,0,12,10/146,1,0,0,7243,-14.83
3d32289c,JE Emburey,John Emburey,Test,1978-1995,64,96,20,1713,75,22.53,0,0,0,10,16,0,0,1978-1995,64,103,15391,5646,147,Jul-78,38.4,2.2,104.7,0,6,7/105,0,0,0,4653,-15.87
5531248e,MDK Perera,Kusal Perera,Test,2014-2021,43,77,8,1303,95,18.88,0,0,0,7,14,0,0,2014-2021,43,78,10805,5780,161,Jun-32,35.9,3.2,67.1,0,8,Oct-78,2,0,0,4523,-17.02
6a0537aa,N Boje,Nicky Boje,Test,2000-2006,43,62,10,1312,85,25.23,0,0,0,4,5,0,0,2000-2006,43,72,8620,4265,100,May-62,42.65,2.96,86.2,0,3,8/134,0,0,0,3312,-17.42
d12143bf,JM Anderson,James Anderson,Test,2003-2024,188,265,114,1353,81,8.96,0,0,0,1,34,0,0,2003-2024,188,350,40037,18627,704,Jul-42,26.45,2.79,56.8,0,32,Nov-71,3,0,0,15433,-17.49
96a6a7ad,NM Lyon,Nathan Lyon,Test,2011-2025,141,180,49,1651,47,12.6,0,0,0,0,20,0,0,2011-2025,141,262,34832,17099,567,Aug-50,30.15,2.94,61.4,0,24,13/154,5,0,0,12991,-17.55
a4af4849,AF Giles,Ashley Giles,Test,1998-2006,54,81,13,1421,59,20.89,0,0,0,4,9,0,0,1998-2006,54,88,12180,5806,143,May-57,40.6,2.86,85.1,0,5,9/122,0,0,0,4281,-19.71
3feda4fa,RL Chase,Roston Chase,Test,2016-2025,57,106,4,2486,137*,24.37,0,0,5,11,15,0,0,2016-2025,57,85,7719,4546,94,Aug-60,48.36,3.53,82.1,0,4,Aug-60,0,0,0,4366,-23.99
6a97c7a4,Karanbir Singh,Karanbir Singh,T20I,2024-2025,41,40,4,1721,115,47.8,1017,169.22,2,16,3,147,136,2024-2025,41,29,0,508,33,Apr-42,15.39,7.73,11.9,1,0,0,0,65.4,0,2381,32.41
602ebd4c,Sami Sohail,Sami Sohail,T20I,2019-2025,66,62,19,1988,96*,46.23,1593,124.79,0,13,4,164,63,2019-2025,66,53,0,1147,64,04-Jun,17.92,7.06,15.2,2,0,0,0,162.2,5,3268,28.31
415d30b6,Virandeep Singh,Virandeep Singh,T20I,2019-2025,111,104,20,3180,116*,37.85,2497,127.35,1,23,6,272,131,2019-2025,111,89,0,1529,109,04-May,14.02,5.57,15.1,4,0,0,0,274.3,8,5360,23.83
ec483176,Taranjeet Singh,Taranjeet Singh,T20I,2021-2025,44,43,4,1351,110,34.64,848,159.31,1,7,1,167,61,2021-2025,44,43,0,928,52,Apr-17,17.84,6.85,15.6,2,0,0,0,135.2,3,2391,16.8
f1eb3c73,DMW Rawlins,Delray Rawlins,T20I,2019-2025,41,39,7,1169,91,36.53,803,145.57,0,9,2,80,75,2019-2025,41,39,0,776,37,04-Oct,20.97,6.21,20.2,2,0,0,0,124.5,2,1909,15.56
c498c510,N Nipiko,Naku Nipiko,T20I,2019-2024,39,39,6,1031,100,31.24,868,118.77,1,6,1,80,42,2019-2024,39,31,0,771,49,May-19,15.73,8.18,11.5,5,1,0,0,94.1,0,2011,15.51
95a5e066,MG Erasmus,Gerhard Erasmus,T20I,2019-2026,81,77,16,1882,100*,30.85,1514,124.3,1,13,3,149,67,2019-2026,81,60,0,1026,65,Apr-20,15.78,5.98,15.8,1,0,0,0,171.3,1,3182,15.07
30d8136b,AR Ramjani,Anwar Ramjani,T20I,2022-2025,65,45,11,850,78,25,646,131.57,0,5,3,66,31,2022-2025,65,63,0,1070,102,May-17,10.49,4.79,13.1,4,1,0,0,223.1,10,2890,14.51
bb134e5c,JJ Smit,JJ Smit,T20I,2019-2026,71,61,22,1251,111*,32.07,857,145.97,1,4,3,74,76,2019-2026,71,51,0,1203,67,06-Oct,17.95,6.9,15.6,2,1,0,0,174.2,1,2591,14.12
7fa6bd8e,RR Patel,Rakesh Patel,T20I,2008-2025,93,81,17,1930,120,30.15,1420,135.91,1,11,4,153,103,2008-2025,93,38,0,610,38,03-Dec,16.05,6.04,15.9,0,0,0,0,100.5,3,2690,14.1
79209272,Yasir Ali,Yasir Ali,T20I,2019-2025,43,39,8,803,80*,25.9,793,101.26,0,4,3,60,25,2019-2025,43,37,0,639,52,Jun-28,12.28,5.73,12.8,0,1,0,0,111.2,2,1843,13.62
c573d173,MWR Stokes,Ben Stokes,T20I,2019-2025,47,43,15,1088,73,38.85,901,120.75,0,6,1,93,21,2019-2025,47,33,0,685,27,Mar-42,25.37,7.41,20.5,0,0,0,0,92.2,3,1628,13.48
1747ea18,DS Airee,Dipendra Singh Airee,T20I,2018-2026,94,82,18,2125,110*,33.2,1523,139.52,1,12,1,152,89,2018-2026,94,68,0,1210,60,Apr-18,20.16,6.1,19.8,2,0,0,0,198.2,4,3325,13.04
33b67317,Bilal Zalmai,Bilal Zalmai,T20I,2019-2025,50,48,6,1485,111*,35.35,921,161.23,1,11,2,149,86,2019-2025,50,48,0,1273,56,04-Dec,22.73,6.92,19.6,2,0,0,0,183.5,2,2605,12.62
e3386c8a,K Bhurtel,Kushal Bhurtel,T20I,2021-2026,74,72,6,1885,104*,28.56,1484,127.02,1,13,5,177,80,2021-2026,74,30,0,497,31,04-Dec,16.03,6.96,13.8,2,0,0,0,71.2,1,2505,12.53
b3b39bed,Aqib Ilyas,Aqib Ilyas,T20I,2015-2024,56,55,7,1330,90,27.7,1092,121.79,0,10,4,125,44,2015-2024,56,37,0,745,47,04-Oct,15.85,6.05,15.7,2,0,0,0,123,2,2270,11.85
269cc4ff,Riazat Ali Shah,Riazat Ali Shah,T20I,2019-2025,77,67,19,1606,98*,33.45,1298,123.72,0,5,4,119,69,2019-2025,77,50,0,938,43,04-Dec,21.81,6.91,18.9,2,0,0,0,135.4,0,2466,11.64
9f2be73d,S Ravichandran,Ravichandran Ashwin,T20I,2022-2025,43,42,4,915,86*,24.07,727,125.85,0,5,2,86,20,2022-2025,43,40,0,615,49,May-22,12.55,4.96,15.1,1,1,0,0,123.5,5,1895,11.52
2c535f08,F Damiao Couana,Damiao Couana,T20I,2019-2024,38,37,5,1005,104,31.4,800,125.62,1,5,3,100,38,2019-2024,38,35,0,718,36,May-19,19.94,6.4,18.6,0,1,0,0,112.1,6,1725,11.46
0,Asghar Afghan,Asghar Afghan,T20I,2010-2021,75,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69,2023-2025,20,19,0,316,29,Jun-14,10.89,4.71,13.8,0,1,0,0,67,5,1962,11.04
716bf559,BA Pai,Bharat Pai,T20I,2019-2024,39,37,7,1054,107*,35.13,915,115.19,1,6,2,95,17,2019-2024,39,36,0,781,32,Mar-13,24.4,6.37,22.9,0,0,0,0,122.3,1,1694,10.73
0,SI Runsewe,Sunday Runsewe,T20I,2019-2025,76,75,10,1399,80,21.52,1275,109.72,0,8,4,150,17,2023-2025,20,19,0,316,29,Jun-14,10.89,4.71,13.8,0,1,0,0,67,5,1979,10.63
1c914163,Yuvraj Singh,Yuvraj Singh,T20I,2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74,2007-2017,58,31,0,499,28,Mar-17,17.82,7.06,15.1,0,0,0,0,70.4,0,1737,10.2
46a7ac78,DM Nakrani,Divyesh Nakrani,T20I,2019-2025,82,70,25,1144,77*,25.42,915,125.02,0,3,3,70,68,2019-2025,82,76,0,1468,96,06-Jul,15.29,5.68,16.1,2,2,0,0,258,10,3064,10.13
c156cc1f,I Danladi,Isaac Danladi,T20I,2019-2025,59,54,6,1224,80,25.5,1062,115.25,0,5,1,109,34,2019-2025,59,37,0,528,34,Apr-22,15.52,5.82,16,1,0,0,0,90.4,2,1904,9.98
9e0bd203,B Ward,Ben Ward,T20I,2019-2025,43,34,9,608,58*,24.32,469,129.63,0,1,1,34,33,2019-2025,43,42,0,881,59,04-Jun,14.93,5.82,15.3,3,0,0,0,151.1,5,1788,9.39
72e60730,A Vala,Assad Vala,T20I,2015-2025,66,63,10,1336,93*,25.2,1158,115.37,0,8,1,118,40,2015-2025,66,40,0,613,38,03-Jul,16.13,6.46,14.9,0,0,0,0,94.5,3,2096,9.07
2dde3e62,J Bulele,Joseph Bulele,T20I,2019-2022,27,27,2,612,62*,24.48,654,93.57,0,4,2,79,2,2019-2022,27,24,0,512,32,Apr-13,16,6.72,14.2,1,0,0,0,76.1,0,1252,8.48
fc4375ef,BFW de Leede,Bas de Leede,T20I,2018-2026,49,44,12,881,91*,27.53,826,106.65,0,5,4,65,24,2018-2026,49,38,0,855,44,Mar-17,19.43,7.96,14.6,0,0,0,0,107.2,1,1761,8.1
5152ab02,Habib Khan,Habib Khan,T20I,2021-2025,26,24,0,629,90,26.2,482,130.49,0,4,1,49,34,2021-2025,26,26,0,684,37,Apr-16,18.48,7.25,15.2,1,0,0,0,94.2,0,1369,7.72
e21bc7f3,RD Berrington,Richie Berrington,T20I,2008-2026,106,97,18,2451,100,31.02,1860,131.77,1,10,10,202,88,2008-2026,106,41,0,660,28,Mar-17,23.57,7.64,18.5,0,0,0,0,86.2,0,3011,7.45
64c34cd0,Shoaib Malik,Shoaib Malik,T20I,2006-2021,124,111,33,2435,75,31.21,1938,125.64,0,9,2,196,69,2006-2021,124,49,0,675,28,02-Jul,24.1,7.1,20.3,0,0,0,0,95,0,2995,7.11
a6aea235,O Harvey,Oliver Harvey,T20I,2021-2024,42,38,5,683,107*,20.69,695,98.27,1,1,3,53,17,2021-2024,42,41,0,757,54,May-36,14.01,5.31,15.8,1,1,0,0,142.3,3,1763,6.68
6667067e,Syed Aziz,Syed Aziz,T20I,2019-2025,117,111,18,2782,126,29.91,1971,141.14,1,19,8,248,143,2019-2025,117,69,0,1501,64,04-Sep,23.45,7.53,18.6,2,0,0,0,199.1,5,4062,6.46
3c87f0c3,JN Frylinck,Jan Frylinck,T20I,2019-2026,78,59,13,1121,134,24.36,903,124.14,1,2,3,97,32,2019-2026,78,50,0,1131,63,Jun-24,17.95,7.04,15.2,1,1,0,0,160.3,1,2381,6.41
c01d7726,H Thaker,Harsh Thaker,T20I,2019-2026,54,42,10,822,53*,25.68,668,123.05,0,2,0,49,35,2019-2026,54,43,0,773,39,Apr-20,19.82,6.1,19.4,1,0,0,0,126.4,6,1602,5.86
d816fc1c,JJ Huo,Jason Huo,T20I,2019-2025,42,40,9,626,107*,20.19,553,113.2,1,0,4,64,18,2019-2025,42,33,0,691,48,04-Nov,14.39,6.67,12.9,1,0,0,0,103.3,6,1586,5.8
d9273ee7,MP Stoinis,Marcus Stoinis,T20I,2015-2026,87,70,24,1416,78,30.78,968,146.28,0,6,2,116,66,2015-2026,87,57,0,1337,53,Apr-23,25.22,8.86,17,1,0,0,0,150.5,1,2476,5.56
4d84ad05,CJA Amini,Charles Amini,T20I,2015-2024,59,51,9,1028,91*,24.47,891,115.37,0,5,6,75,30,2015-2024,59,51,0,906,47,Apr-18,19.27,6.24,18.5,1,0,0,0,145,0,1968,5.2
2af0e3b1,GA Priandana,Gede Priandana,T20I,2022-2025,69,66,10,1217,78*,21.73,1143,106.47,0,6,7,118,41,2022-2025,69,31,0,465,28,05-Jan,16.6,7.24,13.7,1,1,0,0,64.1,1,1777,5.13
7a6decc8,Luqman Butt,Luqman Butt,T20I,2023-2025,45,41,6,1239,80*,35.4,838,147.85,0,6,1,105,71,2023-2025,45,38,0,853,28,Apr-40,30.46,7.74,23.6,1,0,0,0,110.1,1,1799,4.94
0,Asghar Afghan,Asghar Afghan,T20I,2010-2021,75,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69,2022-2025,35,34,0,650,38,08-Jul,17.1,5.55,18.4,1,1,0,0,117,3,2142,4.83
adbf0400,Basil Hameed,Basil Hameed,T20I,2020-2026,65,54,17,796,51,21.51,628,126.75,0,2,3,42,41,2020-2026,65,38,0,640,38,Apr-25,16.84,7.15,14.1,1,0,0,0,89.3,1,1556,4.67
0fa81719,V Saini,Vaibhav Saini,T20I,2020-2025,52,46,11,1058,91*,30.22,819,129.18,0,5,4,91,27,2020-2025,52,47,0,1125,44,May-17,25.56,7.39,20.7,1,1,0,0,152.1,0,1938,4.66
4329fbb5,SR Watson,Shane Watson,T20I,2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83,2006-2016,58,49,0,1187,48,Apr-15,24.72,7.65,19.3,1,0,0,0,155,2,2422,4.52
0,SI Runsewe,Sunday Runsewe,T20I,2019-2025,76,75,10,1399,80,21.52,1275,109.72,0,8,4,150,17,2022-2025,35,34,0,650,38,08-Jul,17.1,5.55,18.4,1,1,0,0,117,3,2159,4.42
8de618ab,SA Ahmad,Shahid Ahmad,T20I,2019-2025,35,31,4,616,66,22.81,573,107.5,0,3,1,56,13,2019-2025,35,30,0,535,29,03-Sep,18.44,5.69,19.4,0,0,0,0,94,4,1196,4.37
b08252b8,RP Burl,Ryan Burl,T20I,2018-2026,115,106,32,1943,67*,26.25,1549,125.43,0,4,3,139,80,2018-2026,115,76,0,1390,62,Mar-13,22.41,7.22,18.6,0,0,0,0,192.2,3,3183,3.84
9ab63e7b,Mohammad Hafeez,Mohammad Hafeez,T20I,2006-2021,119,108,13,2514,99*,26.46,2060,122.03,0,14,7,251,76,2006-2021,119,79,0,1388,61,04-Oct,22.75,6.6,20.6,1,0,0,0,210.1,3,3734,3.71
87a6f411,H Lakov,Hristo Lakov,T20I,2019-2025,46,45,10,1283,80,36.65,1130,113.53,0,9,0,109,18,2019-2025,46,38,0,1089,33,Mar-21,33,7.9,25,0,0,0,0,137.5,3,1943,3.65
34464143,Zeeshan Maqsood,Zeeshan Maqsood,T20I,2015-2024,73,62,10,1369,102*,26.32,1149,119.14,1,5,4,137,49,2015-2024,73,61,0,1168,51,04-Jul,22.9,6.47,21.2,3,0,0,0,180.2,1,2389,3.42
0,Asghar Afghan,Asghar Afghan,T20I,2010-2021,75,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69,2021-2025,42,38,0,779,42,Jun-17,18.54,7.51,14.8,1,1,0,0,103.4,3,2222,3.39
0,Asghar Afghan,Asghar Afghan,T20I,2010-2021,75,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69,2022-2025,28,28,0,558,30,05-Jul,18.6,6.77,16.4,1,1,0,0,82.2,4,1982,3.33
a4e37e47,S Dube,Shivam Dube,T20I,2019-2026,60,45,14,914,66,29.48,606,150.82,0,6,2,58,57,2019-2026,60,40,0,786,30,03-Apr,26.2,9.32,16.8,0,0,0,0,84.2,0,1514,3.28
14157abf,Aqib Iqbal,Aqib Iqbal,T20I,2019-2025,79,58,15,1021,66*,23.74,860,118.72,0,4,4,80,35,2019-2025,79,77,0,1811,88,05-May,20.57,6.67,18.4,0,1,0,0,271.1,7,2781,3.17
0,SI Runsewe,Sunday Runsewe,T20I,2019-2025,76,75,10,1399,80,21.52,1275,109.72,0,8,4,150,17,2021-2025,42,38,0,779,42,Jun-17,18.54,7.51,14.8,1,1,0,0,103.4,3,2239,2.98
0,SI Runsewe,Sunday Runsewe,T20I,2019-2025,76,75,10,1399,80,21.52,1275,109.72,0,8,4,150,17,2022-2025,28,28,0,558,30,05-Jul,18.6,6.77,16.4,1,1,0,0,82.2,4,1999,2.92
26d041c4,Sikandar Raza,Sikandar Raza,T20I,2013-2026,130,125,12,2958,133*,26.17,2172,136.18,1,16,9,227,138,2013-2026,130,116,0,2409,103,May-18,23.38,6.76,20.7,2,1,0,0,356,5,5018,2.79
934b36a6,Khawar Ali,Khawar Ali,T20I,2015-2022,41,35,3,626,72*,19.56,635,98.58,0,2,2,67,15,2015-2022,41,39,0,790,46,04-Nov,17.17,6.62,15.5,3,0,0,0,119.2,0,1546,2.39
7dc35884,Shakib Al Hasan,Shakib Al Hasan,T20I,2006-2024,129,127,17,2551,84,23.19,2105,121.18,0,13,9,258,53,2006-2024,129,126,0,3117,149,May-20,20.91,6.81,18.4,6,2,0,0,457.3,3,5531,2.28
aa8d28ae,D Wiese,David Wiese,T20I,2013-2024,54,40,14,624,66*,24,488,127.86,0,3,3,35,30,2013-2024,54,54,0,1299,59,May-23,22.01,7.19,18.3,1,1,0,0,180.4,2,1804,1.99
05c2ca46,RE van der Merwe,Roelof van der Merwe,T20I,2009-2026,71,46,19,575,75*,21.29,453,126.93,0,2,7,43,16,2009-2026,71,69,0,1481,75,Apr-35,19.74,6.63,17.8,1,0,0,0,223.1,1,2075,1.55
1021b6e5,J Rasu,John Rasu,T20I,2019-2024,39,38,4,675,74,19.85,612,110.29,0,2,4,48,24,2019-2024,39,27,0,642,35,May-36,18.34,7.21,15.2,0,1,0,0,89,1,1375,1.51
243431b5,KJ O'Brien,Kevin O'Brien,T20I,2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82,2008-2021,110,52,0,1149,58,Apr-45,19.81,7.51,15.8,1,0,0,0,152.5,0,3133,1.4
5f547c8b,Rashid Khan,Rashid Khan,T20I,2015-2026,115,70,28,622,48*,14.8,470,132.34,0,0,8,41,40,2015-2026,115,115,0,2650,193,05-Mar,13.73,6.04,13.6,9,2,0,0,438.2,2,4482,1.07
dbe50b21,HH Pandya,Hardik Pandya,T20I,2016-2026,134,105,27,2176,71*,27.89,1506,144.48,0,8,4,160,119,2016-2026,134,121,0,2958,110,Apr-16,26.89,8.31,19.4,3,0,0,0,355.5,5,4376,1
b857468a,V Vijh,Varun Vijh,T20I,2019-2025,49,49,7,920,64*,21.9,869,105.86,0,2,4,67,29,2019-2025,49,45,0,1103,51,Apr-19,21.62,7.83,16.5,1,0,0,0,140.5,0,1940,0.28
c5aef772,R Shepherd,Romario Shepherd,T20I,2020-2026,76,54,23,836,49,26.96,579,144.38,0,0,4,48,60,2020-2026,76,70,0,2167,81,May-20,26.75,9.95,16.1,1,1,0,0,217.4,0,2456,0.21
20481563,MNM Aslam,Mohammad Noman Aslam,T20I,2019-2025,75,51,7,877,55,19.93,769,114.04,0,4,4,76,21,2019-2025,75,74,0,1584,80,04-May,19.8,6.14,19.3,3,0,0,0,257.4,8,2477,0.13
a3a275ec,K Waiswa,Kenneth Waiswa,T20I,2020-2024,73,57,11,736,66*,16,688,106.97,0,1,6,71,19,2020-2024,73,35,0,700,44,Apr-14,15.9,7.14,13.3,2,0,0,0,98,2,1616,0.1
33609a8c,Saim Ayub,Saim Ayub,T20I,2023-2026,66,63,3,1291,98*,21.51,948,136.18,0,6,10,135,59,2023-2026,66,34,0,625,29,Mar-25,21.55,7.1,18.2,0,0,0,0,88,0,1871,-0.04
d1988788,Rohan Mustafa,Rohan Mustafa,T20I,2014-2023,58,53,5,1006,77,20.95,827,121.64,0,4,7,108,27,2014-2023,58,56,0,1283,61,Apr-18,21.03,6.96,18.1,1,0,0,0,184.2,3,2226,-0.08
a36915ce,N Vanua,Norman Vanua,T20I,2015-2024,58,47,10,696,71,18.81,510,136.47,0,3,9,32,47,2015-2024,58,53,0,1255,66,May-17,19.01,7.22,15.7,2,1,0,0,173.4,4,2016,-0.2
50c6bc2b,LS Livingstone,Liam Livingstone,T20I,2017-2025,60,47,9,955,103,25.13,641,148.98,1,2,3,54,59,2017-2025,60,41,0,838,33,Mar-17,25.39,8.72,17.4,0,0,0,0,96,1,1615,-0.26
b681e71e,GJ Maxwell,Glenn Maxwell,T20I,2012-2026,130,118,18,2897,145*,28.97,1876,154.42,5,12,5,243,150,2012-2026,130,86,0,1515,51,03-Oct,29.7,8.13,21.9,0,0,0,0,186.1,0,3917,-0.73
4d7c5b56,IK Gamantika,I Komang Gamantika,T20I,2022-2025,74,59,9,862,78*,17.24,893,96.52,0,1,3,61,24,2022-2025,74,52,0,887,49,Apr-24,18.1,5.82,18.6,1,0,0,0,152.1,4,1842,-0.86
60bec5c3,Muhammad Amir,Mohammad Amir,T20I,2019-2025,59,45,4,582,80,14.19,548,106.2,0,2,4,54,15,2019-2025,59,34,0,626,41,May-16,15.26,6.38,14.3,0,1,0,0,98,2,1402,-1.07
9811e35e,Gulsan Jha,Gulsan Jha,T20I,2022-2026,55,44,12,668,54,20.87,471,141.82,0,1,1,34,49,2022-2026,55,34,0,639,29,Mar-31,22.03,7.22,18.3,0,0,0,0,88.3,1,1248,-1.16
99cddc5e,GH Dockrell,George Dockrell,T20I,2010-2026,157,107,39,1388,58*,20.41,1042,133.2,0,2,9,102,54,2010-2026,157,100,0,2012,91,Apr-20,22.1,6.97,19,1,0,0,0,288.2,1,3208,-1.69
681f522f,SA Okpe,Samuel Okpe,T20I,2019-2025,81,61,14,754,45*,16.04,725,104,0,0,5,48,25,2019-2025,81,75,0,1242,70,05-Sep,17.74,5.75,18.5,1,1,0,0,215.5,9,2154,-1.7
7ecb9a14,Aamir Kaleem,Aamir Kaleem,T20I,2015-2026,58,50,6,779,72*,17.7,680,114.55,0,3,7,79,19,2015-2026,58,45,0,951,49,May-15,19.4,7.55,15.4,2,2,0,0,125.5,1,1759,-1.7
eb40ed89,VP Thamotharam,Vimal Thamotharam,T20I,2020-2025,66,63,8,1445,104*,26.27,995,145.22,1,9,3,100,90,2020-2025,66,55,0,1247,44,Mar-22,28.34,8.01,21.2,0,0,0,0,155.3,0,2325,-2.07
2a03bd2f,L Bruce,Laura Bruce,T20I,2021-2025,45,44,4,1093,99*,27.32,962,113.61,0,12,5,111,17,2021-2025,45,39,0,947,32,Apr-13,29.59,7.8,22.7,1,0,0,0,121.2,0,1733,-2.27
98920db3,Samiullah Shinwari,Samiullah Shinwari,T20I,2010-2022,65,56,10,1013,61,22.02,858,118.06,0,2,2,76,37,2010-2022,65,38,0,688,28,May-13,24.57,6.51,22.6,1,1,0,0,105.4,0,1573,-2.55
7e443b44,PW Hasaranga,Wanindu Hasaranga,T20I,2019-2026,95,77,17,807,71,13.45,639,126.29,0,2,8,81,17,2019-2026,95,93,0,2473,154,04-Sep,16.05,7.02,13.7,5,0,0,0,352,2,3887,-2.6
2e171977,AR Patel,Axar Patel,T20I,2015-2026,90,56,18,700,65,18.42,522,134.09,0,1,4,50,28,2015-2026,90,84,0,1946,92,03-Sep,21.15,7.29,17.3,0,0,0,0,266.4,4,2540,-2.73
c9d05f1a,Yasim Murtaza,Yasim Murtaza,T20I,2022-2025,68,57,8,821,58,16.75,720,114.02,0,2,1,59,33,2022-2025,68,65,0,1461,75,04-Sep,19.48,6.37,18.3,1,0,0,0,229,3,2321,-2.73
3086f7a4,Mohammad Nawaz,Mohammad Nawaz,T20I,2016-2026,96,67,17,911,45*,18.22,681,133.77,0,0,7,68,48,2016-2026,96,90,0,2062,98,May-18,21.04,7.15,17.6,0,2,0,0,288.2,2,2871,-2.82
a757b0d8,KA Pollard,Kieron Pollard,T20I,2008-2022,101,83,21,1569,75*,25.3,1161,135.14,0,6,3,94,99,2008-2022,101,63,0,1188,42,Apr-25,28.28,8.32,20.3,1,0,0,0,142.4,0,2409,-2.98
896d78ad,AD Mathews,Angelo Mathews,T20I,2009-2024,90,73,22,1416,81*,27.76,1175,120.51,0,6,1,92,50,2009-2024,90,72,0,1389,45,Mar-16,30.86,7.12,25.9,0,0,0,0,194.5,4,2316,-3.1
3feda4fa,RL Chase,Roston Chase,T20I,2021-2026,55,40,8,771,67*,24.09,643,119.9,0,4,5,68,19,2021-2026,55,47,0,1014,37,03-Dec,27.4,7.47,22,0,0,0,0,135.4,1,1511,-3.31
9219eff0,JDS Neesham,Jimmy Neesham,T20I,2012-2026,98,72,22,1033,48*,20.66,690,149.71,0,0,7,80,54,2012-2026,98,69,0,1421,58,May-22,24.5,8.98,16.3,1,1,0,0,158.1,0,2193,-3.84
1c5c3dce,IO Okpe,Isaac Okpe,T20I,2019-2025,84,69,13,822,65*,14.67,738,111.38,0,2,5,33,34,2019-2025,84,80,0,1564,84,May-25,18.61,6.69,16.6,0,1,0,0,233.4,4,2502,-3.94
0e34c23a,Adnan Idrees,Adnan Idrees,T20I,2019-2024,42,37,2,553,80,15.8,410,134.87,0,3,6,66,23,2019-2024,42,33,0,756,38,Mar-17,19.89,7.72,15.4,0,0,0,0,97.5,0,1313,-4.09
87e562a9,DJ Bravo,Dwayne Bravo,T20I,2006-2021,91,74,17,1255,66*,22.01,1091,115.03,0,4,5,73,55,2006-2021,91,77,0,2036,78,Apr-19,26.1,8.11,19.2,3,0,0,0,250.5,0,2815,-4.09
